Easting,Northing,week
416066.094313,4511671.896460,197
416549.486218,4513152.888808,90
416473.524721,4511614.865108,80
416970.489883,4513058.722538,117
416856.818931,4511496.448749,41
416405.416305,4511606.381498,30
416749.866219,4510535.467219,113
416065.116173,4511585.557534,191
416957.981555,4512152.189173,71
415899.637719,4511263.621470,87
416149.221301,4511556.849838,101
417126.291754,4512523.458651,39
417685.482249,4513254.279177,10
416555.357385,4511176.026017,42
416712.307633,4511784.876563,53
417181.874413,4512461.158523,75
416672.826745,4512861.610560,35
416917.047937,4512057.046595,39
417384.059348,4511666.334025,65
416822.993717,4513078.881305,46
418057.444323,4512753.643584,51
416715.197679,4512250.516540,17
416995.389964,4511932.811532,124
416210.539684,4511586.995389,103
416893.277281,4513491.338557,105
418005.919635,4513182.877930,6
416183.578515,4511898.777090,76
417545.223173,4512660.643239,65
418253.237279,4512859.416760,71
417600.527514,4511518.979438,16
417874.135900,4512928.373259,54
417993.867009,4512729.675982,26
417063.324683,4512135.589371,26
417482.751197,4512525.646608,76
418542.873597,4512970.329986,54
417531.704750,4512710.136441,133
418542.674471,4512739.039078,93
416741.760007,4513570.139008,19
418355.921360,4512602.319555,151
417052.901748,4513508.052217,34
417327.761799,4512505.787528,9
416083.067803,4511721.047048,173
418451.676411,4512780.131302,37
416847.949282,4512168.843120,80
416936.698368,4512972.751555,76
416599.524534,4511974.264745,87
416239.385983,4511441.724674,68
416569.370265,4512628.396735,74
416903.481040,4510428.890209,95
416818.200199,4511607.903348,9
417652.385733,4513229.975802,137
416776.623154,4512499.624052,70
416358.365155,4511801.199868,75
417281.491066,4512352.108164,178
417149.427425,4512285.737919,106
416870.177077,4512686.692862,185
417265.658700,4512824.124817,148
416114.849494,4511628.169268,114
417468.778121,4512744.760506,134
416737.720455,4511750.667764,55
417765.328145,4512843.231026,200
416502.990184,4512564.382276,52
416309.320184,4512026.880469,155
417835.323198,4512811.614981,158
417362.720429,4512696.600413,91
416402.182452,4512358.896146,128
416416.955256,4512836.738545,95
416464.899031,4512305.761801,140
416740.677664,4511596.438447,66
417504.574506,4512590.165779,92
416919.725525,4512713.892207,103
416787.526072,4513261.231547,78
417169.530247,4512196.079420,460
417923.624183,4513162.202204,46
417474.180917,4513019.169148,37
417983.385110,4513053.603040,27
416279.394890,4512076.561471,174
417153.085479,4513032.006131,31
417747.925919,4513176.487348,39
417991.909457,4512976.410768,50
418429.758869,4512919.148582,20
417655.935062,4512705.670259,41
417317.308317,4512829.715843,17
417009.403453,4512555.606677,88
417252.596477,4512284.584679,185
416318.560203,4512014.440373,260
416606.910164,4511588.691145,50
416517.749429,4511793.234258,53
416007.788005,4511493.689354,30
416684.024297,4510520.787519,73
416476.736064,4511275.597330,36
415769.080939,4511126.327610,65
415021.374931,4511168.788037,71
417602.466064,4513168.852709,97
415094.815489,4511232.708849,140
415010.131190,4510801.928446,75
