depth,Stmax,Stavg,EndP,MaxP,MaxV,RanV,RtUp,RtDn,TINDVI,Easting_32632,Northing_32632,elev,asp,slo,tri,Al05Fe
0.050000,123.400000,69.000000,20.000000,14.000000,0.832039,0.146848,0.023927,0.024475,1.097975,685999.303635,5145785.318851,1225.000000,15.642250,113.581604,17.125000,0.209839
0.150000,123.400000,69.000000,20.000000,14.000000,0.832039,0.146848,0.023927,0.024475,1.097975,685999.303635,5145785.318851,1225.000000,15.642250,113.581604,17.125000,0.291016
0.300000,123.400000,69.000000,20.000000,14.000000,0.832039,0.146848,0.023927,0.024475,1.097975,685999.303635,5145785.318851,1225.000000,15.642250,113.581604,17.125000,0.622528
0.500000,123.400000,69.000000,20.000000,14.000000,0.832039,0.146848,0.023927,0.024475,1.097975,685999.303635,5145785.318851,1225.000000,15.642250,113.581604,17.125000,1.122491
0.050000,145.200000,89.100000,20.000000,14.000000,0.876098,0.255037,0.036434,0.041653,2.062387,667807.767807,5127865.560897,1177.000000,45.000000,7.071068,1.125000,0.256365
0.150000,145.200000,89.100000,20.000000,14.000000,0.876098,0.255037,0.036434,0.041653,2.062387,667807.767807,5127865.560897,1177.000000,45.000000,7.071068,1.125000,0.187996
0.300000,145.200000,89.100000,20.000000,14.000000,0.876098,0.255037,0.036434,0.041653,2.062387,667807.767807,5127865.560897,1177.000000,45.000000,7.071068,1.125000,0.166691
0.500000,145.200000,89.100000,20.000000,14.000000,0.876098,0.255037,0.036434,0.041653,2.062387,667807.767807,5127865.560897,1177.000000,45.000000,7.071068,1.125000,0.272885
0.050000,140.900000,83.000000,19.000000,13.000000,0.816125,0.211130,0.035188,0.032740,1.540924,670016.909126,5162058.447357,1000.000000,355.236359,30.103987,4.750000,0.134719
0.150000,140.900000,83.000000,19.000000,13.000000,0.816125,0.211130,0.035188,0.032740,1.540924,670016.909126,5162058.447357,1000.000000,355.236359,30.103987,4.750000,0.138290
0.245000,140.900000,83.000000,19.000000,13.000000,0.816125,0.211130,0.035188,0.032740,1.540924,670016.909126,5162058.447357,1000.000000,355.236359,30.103987,4.750000,0.246490
0.050000,122.400000,62.500000,21.000000,15.000000,0.821621,0.244372,0.040464,0.040729,1.841812,789269.032822,5170307.726331,1236.000000,124.695152,19.764235,3.250000,0.280620
0.150000,122.400000,62.500000,21.000000,15.000000,0.821621,0.244372,0.040464,0.040729,1.841812,789269.032822,5170307.726331,1236.000000,124.695152,19.764235,3.250000,0.225899
0.300000,122.400000,62.500000,21.000000,15.000000,0.821621,0.244372,0.040464,0.040729,1.841812,789269.032822,5170307.726331,1236.000000,124.695152,19.764235,3.250000,0.177416
0.600000,122.400000,62.500000,21.000000,15.000000,0.821621,0.244372,0.040464,0.040729,1.841812,789269.032822,5170307.726331,1236.000000,124.695152,19.764235,3.250000,0.087070
0.050000,93.600000,44.900000,21.000000,15.000000,0.836159,0.335087,0.047870,0.050282,2.585493,685957.598857,5161725.075083,1704.000000,93.366463,10.643367,1.625000,0.333041
0.150000,93.600000,44.900000,21.000000,15.000000,0.836159,0.335087,0.047870,0.050282,2.585493,685957.598857,5161725.075083,1704.000000,93.366463,10.643367,1.625000,0.845968
0.300000,93.600000,44.900000,21.000000,15.000000,0.836159,0.335087,0.047870,0.050282,2.585493,685957.598857,5161725.075083,1704.000000,93.366463,10.643367,1.625000,0.680622
0.500000,93.600000,44.900000,21.000000,15.000000,0.836159,0.335087,0.047870,0.050282,2.585493,685957.598857,5161725.075083,1704.000000,93.366463,10.643367,1.625000,0.373667
0.050000,16.900000,-14.600000,21.000000,15.000000,0.442077,0.334986,0.050292,0.055831,2.407337,585386.095205,5147117.714197,2500.000000,342.979492,32.027821,5.125000,0.655025
0.150000,16.900000,-14.600000,21.000000,15.000000,0.442077,0.334986,0.050292,0.055831,2.407337,585386.095205,5147117.714197,2500.000000,342.979492,32.027821,5.125000,1.147156
0.300000,16.900000,-14.600000,21.000000,15.000000,0.442077,0.334986,0.050292,0.055831,2.407337,585386.095205,5147117.714197,2500.000000,342.979492,32.027821,5.125000,0.928832
0.500000,16.900000,-14.600000,21.000000,15.000000,0.442077,0.334986,0.050292,0.055831,2.407337,585386.095205,5147117.714197,2500.000000,342.979492,32.027821,5.125000,0.865947
0.050000,117.900000,66.600000,20.000000,14.000000,0.889016,0.446442,0.063777,0.070663,3.547327,602929.253716,5147822.268179,1525.000000,17.049034,49.029648,7.750000,0.344773
0.150000,117.900000,66.600000,20.000000,14.000000,0.889016,0.446442,0.063777,0.070663,3.547327,602929.253716,5147822.268179,1525.000000,17.049034,49.029648,7.750000,0.169268
0.300000,117.900000,66.600000,20.000000,14.000000,0.889016,0.446442,0.063777,0.070663,3.547327,602929.253716,5147822.268179,1525.000000,17.049034,49.029648,7.750000,0.104039
0.050000,119.600000,66.900000,20.000000,14.000000,0.822929,0.217768,0.036295,0.033783,1.589663,665934.771840,5147829.113571,1360.000000,115.016891,20.691181,2.750000,0.181980
0.150000,119.600000,66.900000,20.000000,14.000000,0.822929,0.217768,0.036295,0.033783,1.589663,665934.771840,5147829.113571,1360.000000,115.016891,20.691181,2.750000,0.141682
0.300000,119.600000,66.900000,20.000000,14.000000,0.822929,0.217768,0.036295,0.033783,1.589663,665934.771840,5147829.113571,1360.000000,115.016891,20.691181,2.750000,0.132753
0.600000,119.600000,66.900000,20.000000,14.000000,0.822929,0.217768,0.036295,0.033783,1.589663,665934.771840,5147829.113571,1360.000000,115.016891,20.691181,2.750000,0.097473
0.050000,62.800000,21.100000,20.000000,14.000000,0.774526,0.411832,0.063689,0.068639,3.001775,713869.708062,5147784.997376,1883.000000,6.428749,89.311600,18.375000,0.102726
0.150000,62.800000,21.100000,20.000000,14.000000,0.774526,0.411832,0.063689,0.068639,3.001775,713869.708062,5147784.997376,1883.000000,6.428749,89.311600,18.375000,0.198409
0.290000,62.800000,21.100000,20.000000,14.000000,0.774526,0.411832,0.063689,0.068639,3.001775,713869.708062,5147784.997376,1883.000000,6.428749,89.311600,18.375000,0.344322
0.050000,113.100000,55.500000,21.000000,15.000000,0.831666,0.273143,0.040283,0.045524,1.946481,742781.585928,5148718.702452,1425.000000,230.710587,88.829193,13.750000,0.403019
0.150000,113.100000,55.500000,21.000000,15.000000,0.831666,0.273143,0.040283,0.045524,1.946481,742781.585928,5148718.702452,1425.000000,230.710587,88.829193,13.750000,0.371813
0.300000,113.100000,55.500000,21.000000,15.000000,0.831666,0.273143,0.040283,0.045524,1.946481,742781.585928,5148718.702452,1425.000000,230.710587,88.829193,13.750000,0.392923
0.515000,113.100000,55.500000,21.000000,15.000000,0.831666,0.273143,0.040283,0.045524,1.946481,742781.585928,5148718.702452,1425.000000,230.710587,88.829193,13.750000,0.222567
0.050000,120.300000,60.300000,20.000000,14.000000,0.887078,0.360766,0.051538,0.054286,2.787844,757685.743014,5150013.827488,1267.000000,53.426968,48.250648,7.750000,0.483088
0.150000,120.300000,60.300000,20.000000,14.000000,0.887078,0.360766,0.051538,0.054286,2.787844,757685.743014,5150013.827488,1267.000000,53.426968,48.250648,7.750000,0.669847
0.300000,120.300000,60.300000,20.000000,14.000000,0.887078,0.360766,0.051538,0.054286,2.787844,757685.743014,5150013.827488,1267.000000,53.426968,48.250648,7.750000,0.784660
0.050000,101.100000,47.200000,21.000000,14.000000,0.867662,0.359204,0.054821,0.051315,2.797303,804778.085299,5153559.931496,1337.000000,194.036255,67.000465,11.750000,0.441057
0.150000,101.100000,47.200000,21.000000,14.000000,0.867662,0.359204,0.054821,0.051315,2.797303,804778.085299,5153559.931496,1337.000000,194.036255,67.000465,11.750000,0.295934
0.300000,101.100000,47.200000,21.000000,14.000000,0.867662,0.359204,0.054821,0.051315,2.797303,804778.085299,5153559.931496,1337.000000,194.036255,67.000465,11.750000,0.269931
0.050000,133.700000,77.600000,21.000000,14.000000,0.902766,0.354847,0.056556,0.050692,2.830455,824804.479604,5140147.293211,937.000000,133.976974,49.505367,8.625000,0.413987
0.150000,133.700000,77.600000,21.000000,14.000000,0.902766,0.354847,0.056556,0.050692,2.830455,824804.479604,5140147.293211,937.000000,133.976974,49.505367,8.625000,0.409294
0.275000,133.700000,77.600000,21.000000,14.000000,0.902766,0.354847,0.056556,0.050692,2.830455,824804.479604,5140147.293211,937.000000,133.976974,49.505367,8.625000,0.444699
0.050000,118.400000,68.400000,20.000000,14.000000,0.808846,0.202742,0.033790,0.030270,1.453179,602948.409748,5132817.984446,1600.000000,175.292145,53.304844,7.875000,0.377672
0.150000,118.400000,68.400000,20.000000,14.000000,0.808846,0.202742,0.033790,0.030270,1.453179,602948.409748,5132817.984446,1600.000000,175.292145,53.304844,7.875000,0.539198
0.300000,118.400000,68.400000,20.000000,14.000000,0.808846,0.202742,0.033790,0.030270,1.453179,602948.409748,5132817.984446,1600.000000,175.292145,53.304844,7.875000,0.472218
0.575000,118.400000,68.400000,20.000000,14.000000,0.808846,0.202742,0.033790,0.030270,1.453179,602948.409748,5132817.984446,1600.000000,175.292145,53.304844,7.875000,0.302061
0.045000,117.600000,67.100000,20.000000,14.000000,0.850937,0.349643,0.054369,0.058274,2.555242,632936.511343,5132533.850041,1576.000000,225.000000,19.445436,3.375000,0.357544
0.150000,117.600000,67.100000,20.000000,14.000000,0.850937,0.349643,0.054369,0.058274,2.555242,632936.511343,5132533.850041,1576.000000,225.000000,19.445436,3.375000,0.337042
0.275000,117.600000,67.100000,20.000000,14.000000,0.850937,0.349643,0.054369,0.058274,2.555242,632936.511343,5132533.850041,1576.000000,225.000000,19.445436,3.375000,0.350248
0.050000,92.500000,47.400000,21.000000,15.000000,0.831619,0.359530,0.051361,0.056194,2.836822,650924.614513,5132613.080124,1600.000000,63.886086,35.498680,4.750000,0.313658
0.150000,92.500000,47.400000,21.000000,15.000000,0.831619,0.359530,0.051361,0.056194,2.836822,650924.614513,5132613.080124,1600.000000,63.886086,35.498680,4.750000,0.345394
0.300000,92.500000,47.400000,21.000000,15.000000,0.831619,0.359530,0.051361,0.056194,2.836822,650924.614513,5132613.080124,1600.000000,63.886086,35.498680,4.750000,0.283343
