Borehole,Easting,Northing,Layer,chrome,chromethre,std
A0_L1,424288,4533039,1,503,1,7
A0_L2,424288,4533039,2,138,0,5
A0_L3,424288,4533039,3,62,0,4
A1_L1,424289,4533044,1,445,1,7
A1_L2,424289,4533044,2,606,1,8
A1_L3,424289,4533044,3,410,1,7
A2_L1,424290,4533064,1,429,1,7
A2_L2,424290,4533064,2,473,1,7
A2_L3,424290,4533064,3,180,1,5
A3_L1,424293,4533085,1,485,1,7
A3_L2,424293,4533085,2,298,1,6
A3_L3,424293,4533085,3,990,1,11
A4_L1,424295,4533103,1,391,1,6
A4_L2,424295,4533103,2,664,1,8
A4_L3,424295,4533103,3,1235,1,13
A5_L1,424297,4533124,1,663,1,9
A5_L2,424297,4533124,2,240,1,5
A5_L3,424297,4533124,3,242,1,5
A6_L1,424299,4533144,1,429,1,7
A6_L2,424299,4533144,2,290,1,6
A6_L3,424299,4533144,3,1245,1,13
A7_L1,424301,4533164,1,152,1,5
A7_L2,424301,4533164,2,182,1,5
A7_L3,424301,4533164,3,80,0,4
A8_L1,424303,4533184,1,262,1,6
A8_L2,424303,4533184,2,337,1,6
A8_L3,424303,4533184,3,129,0,4
A9_L1,424305,4533203,1,222,1,5
A9_L2,424305,4533203,2,80,0,4
A9_L3,424305,4533203,3,216,1,6
A10_L1,424308,4533223,1,243,1,5
A10_L2,424308,4533223,2,570,1,8
A10_L3,424308,4533223,3,308,1,6
A11_L1,424310,4533244,1,173,1,5
A11_L2,424310,4533244,2,157,1,5
A11_L3,424310,4533244,3,573,1,8
A12_L1,424311,4533264,1,282,1,6
A12_L2,424311,4533264,2,331,1,6
A12_L3,424311,4533264,3,112,0,4
A13_L1,424314,4533283,1,237,1,6
A13_L2,424314,4533283,2,299,1,6
A13_L3,424314,4533283,3,1483,1,15
A14_L1,424316,4533303,1,344,1,6
A14_L2,424316,4533303,2,2053,1,19
A14_L3,424316,4533303,3,163,1,5
A15_L1,424319,4533323,1,403,1,7
A15_L2,424319,4533323,2,1663,1,16
A15_L3,424319,4533323,3,98,0,4
A16_L1,424320,4533343,1,427,1,7
A16_L2,424320,4533343,2,103,0,4
A16_L3,424320,4533343,3,82,0,4
A17_L1,424322,4533362,1,474,1,7
A17_L2,424322,4533362,2,1015,1,11
A17_L3,424322,4533362,3,2675,1,23
B0_L1,424309,4533038,1,380,1,7
B0_L2,424309,4533038,2,245,1,5
B0_L3,424309,4533038,3,258,1,5
B1_L1,424309,4533045,1,609,1,8
B1_L2,424309,4533045,2,944,1,11
B1_L3,424309,4533045,3,576,1,9
B2_L1,424311,4533065,1,494,1,7
B2_L2,424311,4533065,2,388,1,7
B2_L3,424311,4533065,3,842,1,9
B3_L1,424314,4533085,1,241,1,6
B3_L2,424314,4533085,2,271,1,6
B3_L3,424314,4533085,3,1605,1,16
B4_L1,424316,4533105,1,255,1,5
B4_L2,424316,4533105,2,202,1,5
B4_L3,424316,4533105,3,205,1,5
B5_L1,424318,4533125,1,202,1,5
B5_L2,424318,4533125,2,111,0,5
B5_L3,424318,4533125,3,120,0,5
B6_L1,424320,4533144,1,256,1,6
B6_L2,424320,4533144,2,496,1,8
B6_L3,424320,4533144,3,397,1,7
B7_L1,424323,4533164,1,227,1,5
B7_L2,424323,4533164,2,358,1,7
B7_L3,424323,4533164,3,491,1,7
B8_L1,424325,4533185,1,253,1,6
B8_L2,424325,4533185,2,155,1,5
B8_L3,424325,4533185,3,86,0,4
B9_L1,424327,4533204,1,347,1,7
B9_L2,424327,4533204,2,382,1,6
B9_L3,424327,4533204,3,996,1,11
B10_L1,424328,4533223,1,353,1,7
B10_L2,424328,4533223,2,173,1,5
B10_L3,424328,4533223,3,86,0,4
B11_L1,424331,4533243,1,292,1,6
B11_L2,424331,4533243,2,916,1,11
B11_L3,424331,4533243,3,257,1,6
B12_L1,424333,4533262,1,598,1,8
B12_L2,424333,4533262,2,1280,1,13
B12_L3,424333,4533262,3,670,1,9
B13_L1,424335,4533283,1,786,1,10
B13_L2,424335,4533283,2,1299,1,13
B13_L3,424335,4533283,3,567,1,8
B14_L1,424337,4533302,1,526,1,7
B14_L2,424337,4533302,2,1103,1,12
B14_L3,424337,4533302,3,3170,1,26
B15_L1,424337,4533321,1,641,1,8
B15_L2,424337,4533321,2,309,1,6
B15_L3,424337,4533321,3,119,0,5
B16_L1,424341,4533341,1,500,1,7
B16_L2,424341,4533341,2,938,1,11
B16_L3,424341,4533341,3,652,1,8
B17_L1,424342,4533362,1,679,1,9
B17_L2,424342,4533362,2,1826,1,17
B17_L3,424342,4533362,3,1412,1,14
C0_L1,424330,4533036,1,251,1,5
C0_L2,424330,4533036,2,103,0,4
C0_L3,424330,4533036,3,64,0,4
C1_L1,424330,4533043,1,405,1,7
C1_L2,424330,4533043,2,599,1,8
C1_L3,424330,4533043,3,181,1,5
C2_L1,424332,4533062,1,499,1,7
C2_L2,424332,4533062,2,1117,1,12
C2_L3,424332,4533062,3,287,1,6
C3_L1,424334,4533082,1,254,1,5
C3_L2,424334,4533082,2,617,1,8
C3_L3,424334,4533082,3,1424,1,13
C4_L1,424337,4533102,1,362,1,7
C4_L2,424337,4533102,2,815,1,10
C4_L3,424337,4533102,3,1267,1,12
C5_L1,424338,4533122,1,585,1,8
C5_L2,424338,4533122,2,865,1,10
