Borehole,Easting,Northing,Layer,zinc,zincthre,std
A0_L1,424288,4533039,1,460,1,6
A0_L2,424288,4533039,2,159,1,4
A0_L3,424288,4533039,3,100,0,3
A1_L1,424289,4533044,1,283,1,5
A1_L2,424289,4533044,2,363,1,6
A1_L3,424289,4533044,3,214,1,4
A2_L1,424290,4533064,1,352,1,6
A2_L2,424290,4533064,2,342,1,6
A2_L3,424290,4533064,3,155,1,4
A3_L1,424293,4533085,1,312,1,5
A3_L2,424293,4533085,2,210,1,4
A3_L3,424293,4533085,3,673,1,8
A4_L1,424295,4533103,1,335,1,6
A4_L2,424295,4533103,2,499,1,7
A4_L3,424295,4533103,3,973,1,10
A5_L1,424297,4533124,1,458,1,6
A5_L2,424297,4533124,2,193,1,4
A5_L3,424297,4533124,3,268,1,5
A6_L1,424299,4533144,1,331,1,5
A6_L2,424299,4533144,2,254,1,5
A6_L3,424299,4533144,3,796,1,9
A7_L1,424301,4533164,1,157,1,4
A7_L2,424301,4533164,2,188,1,4
A7_L3,424301,4533164,3,85,0,3
A8_L1,424303,4533184,1,193,1,4
A8_L2,424303,4533184,2,320,1,6
A8_L3,424303,4533184,3,152,1,4
A9_L1,424305,4533203,1,160,1,4
A9_L2,424305,4533203,2,87,0,3
A9_L3,424305,4533203,3,154,1,4
A10_L1,424308,4533223,1,165,1,4
A10_L2,424308,4533223,2,268,1,5
A10_L3,424308,4533223,3,147,0,4
A11_L1,424310,4533244,1,135,0,4
A11_L2,424310,4533244,2,124,0,3
A11_L3,424310,4533244,3,327,1,6
A12_L1,424311,4533264,1,185,1,4
A12_L2,424311,4533264,2,193,1,4
A12_L3,424311,4533264,3,107,0,3
A13_L1,424314,4533283,1,140,0,4
A13_L2,424314,4533283,2,181,1,4
A13_L3,424314,4533283,3,716,1,9
A14_L1,424316,4533303,1,216,1,5
A14_L2,424316,4533303,2,745,1,9
A14_L3,424316,4533303,3,124,0,4
A15_L1,424319,4533323,1,202,1,5
A15_L2,424319,4533323,2,552,1,8
A15_L3,424319,4533323,3,104,0,3
A16_L1,424320,4533343,1,199,1,4
A16_L2,424320,4533343,2,103,0,3
A16_L3,424320,4533343,3,87,0,3
A17_L1,424322,4533362,1,274,1,5
A17_L2,424322,4533362,2,389,1,6
A17_L3,424322,4533362,3,1041,1,11
B0_L1,424309,4533038,1,326,1,6
B0_L2,424309,4533038,2,204,1,4
B0_L3,424309,4533038,3,206,1,4
